"climateSegment","speciesName","count"
"e Climate Segment "," Carex lacustris",0
"f Climate Segment "," Carex lacustris",0
"a Climate Segment "," Carex laevivaginata",0
"b Climate Segment "," Carex laevivaginata",3
"c Climate Segment "," Carex laevivaginata",4
"d Climate Segment "," Carex laevivaginata",3
"e Climate Segment "," Carex laevivaginata",0
"f Climate Segment "," Carex laevivaginata",1
"a Climate Segment "," Carex lasiocarpa",4
"b Climate Segment "," Carex lasiocarpa",2
"c Climate Segment "," Carex lasiocarpa",0
"d Climate Segment "," Carex lasiocarpa",0
"e Climate Segment "," Carex lasiocarpa",0
"f Climate Segment "," Carex lasiocarpa",0
"a Climate Segment "," Carex laxiculmis",5
"b Climate Segment "," Carex laxiculmis",5
"c Climate Segment "," Carex laxiculmis",8
"d Climate Segment "," Carex laxiculmis",6
"e Climate Segment "," Carex laxiculmis",11
"f Climate Segment "," Carex laxiculmis",3
"a Climate Segment "," Carex laxiflora",8
"b Climate Segment "," Carex laxiflora",6
"c Climate Segment "," Carex laxiflora",10
"d Climate Segment "," Carex laxiflora",5
"e Climate Segment "," Carex laxiflora",11
"f Climate Segment "," Carex laxiflora",2
"a Climate Segment "," Carex leavenworthii",2
"b Climate Segment "," Carex leavenworthii",2
"c Climate Segment "," Carex leavenworthii",2
"d Climate Segment "," Carex leavenworthii",2
"e Climate Segment "," Carex leavenworthii",3
"f Climate Segment "," Carex leavenworthii",4
"a Climate Segment "," Carex leptalea",8
"b Climate Segment "," Carex leptalea",5
"c Climate Segment "," Carex leptalea",4
"d Climate Segment "," Carex leptalea",1
"e Climate Segment "," Carex leptalea",1
"f Climate Segment "," Carex leptalea",0
"a Climate Segment "," Carex limosa",2
"b Climate Segment "," Carex limosa",2
"c Climate Segment "," Carex limosa",0
"d Climate Segment "," Carex limosa",0
"e Climate Segment "," Carex limosa",0
"f Climate Segment "," Carex limosa",0
"a Climate Segment "," Carex longii",4
"b Climate Segment "," Carex longii",0
"c Climate Segment "," Carex longii",0
"d Climate Segment "," Carex longii",0
"e Climate Segment "," Carex longii",0
"f Climate Segment "," Carex longii",0
"a Climate Segment "," Carex louisianica",0
"b Climate Segment "," Carex louisianica",0
"c Climate Segment "," Carex louisianica",0
"d Climate Segment "," Carex louisianica",0
"e Climate Segment "," Carex louisianica",3
"f Climate Segment "," Carex louisianica",2
"a Climate Segment "," Carex lupuliformis",2
"b Climate Segment "," Carex lupuliformis",1
"c Climate Segment "," Carex lupuliformis",2
"d Climate Segment "," Carex lupuliformis",0
"e Climate Segment "," Carex lupuliformis",1
"f Climate Segment "," Carex lupuliformis",2
"a Climate Segment "," Carex lupulina",11
"b Climate Segment "," Carex lupulina",10
"c Climate Segment "," Carex lupulina",8
"d Climate Segment "," Carex lupulina",5
"e Climate Segment "," Carex lupulina",8
"f Climate Segment "," Carex lupulina",6
"a Climate Segment "," Carex lurida",3
"b Climate Segment "," Carex lurida",6
"c Climate Segment "," Carex lurida",8
"d Climate Segment "," Carex lurida",12
"e Climate Segment "," Carex lurida",10
"f Climate Segment "," Carex lurida",6
"a Climate Segment "," Carex meadii",5
"b Climate Segment "," Carex meadii",1
"c Climate Segment "," Carex meadii",1
"d Climate Segment "," Carex meadii",1
"e Climate Segment "," Carex meadii",1
"f Climate Segment "," Carex meadii",2
"a Climate Segment "," Carex mesochorea",0
"b Climate Segment "," Carex mesochorea",2
"c Climate Segment "," Carex mesochorea",0
"d Climate Segment "," Carex mesochorea",0
"e Climate Segment "," Carex mesochorea",0
"f Climate Segment "," Carex mesochorea",0
"a Climate Segment "," Carex molesta",3
"b Climate Segment "," Carex molesta",3
"c Climate Segment "," Carex molesta",1
"d Climate Segment "," Carex molesta",1
"e Climate Segment "," Carex molesta",2
"f Climate Segment "," Carex molesta",4
"a Climate Segment "," Carex muehlenbergii",9
"b Climate Segment "," Carex muehlenbergii",1
"c Climate Segment "," Carex muehlenbergii",0
"d Climate Segment "," Carex muehlenbergii",1
"e Climate Segment "," Carex muehlenbergii",4
"f Climate Segment "," Carex muehlenbergii",2
"a Climate Segment "," Carex muskingumensis",2
"b Climate Segment "," Carex muskingumensis",3
"c Climate Segment "," Carex muskingumensis",3
"d Climate Segment "," Carex muskingumensis",0
"e Climate Segment "," Carex muskingumensis",1
"f Climate Segment "," Carex muskingumensis",4
"a Climate Segment "," Carex normalis",6
"b Climate Segment "," Carex normalis",9
"c Climate Segment "," Carex normalis",10
"d Climate Segment "," Carex normalis",2
"e Climate Segment "," Carex normalis",6
"f Climate Segment "," Carex normalis",3
"a Climate Segment "," Carex oligocarpa",1
"b Climate Segment "," Carex oligocarpa",9
"c Climate Segment "," Carex oligocarpa",6
"d Climate Segment "," Carex oligocarpa",2
"e Climate Segment "," Carex oligocarpa",8
"f Climate Segment "," Carex oligocarpa",4
"a Climate Segment "," Carex oligosperma",5
"b Climate Segment "," Carex oligosperma",0
"c Climate Segment "," Carex oligosperma",0
"d Climate Segment "," Carex oligosperma",0
"e Climate Segment "," Carex oligosperma",0
"f Climate Segment "," Carex oligosperma",0
"a Climate Segment "," Carex pellita",15
"b Climate Segment "," Carex pellita",6
"c Climate Segment "," Carex pellita",1
"d Climate Segment "," Carex pellita",1
"e Climate Segment "," Carex pellita",3
"f Climate Segment "," Carex pellita",1
"a Climate Segment "," Carex pensylvanica",11
"b Climate Segment "," Carex pensylvanica",7
"c Climate Segment "," Carex pensylvanica",3
"d Climate Segment "," Carex pensylvanica",1
"e Climate Segment "," Carex pensylvanica",0
"f Climate Segment "," Carex pensylvanica",0
"a Climate Segment "," Carex picta",0
"b Climate Segment "," Carex picta",0
"c Climate Segment "," Carex picta",3
"d Climate Segment "," Carex picta",2
"e Climate Segment "," Carex picta",2
"f Climate Segment "," Carex picta",0
"a Climate Segment "," Carex planispicata",0
"b Climate Segment "," Carex planispicata",0
"c Climate Segment "," Carex planispicata",0
"d Climate Segment "," Carex planispicata",0
"e Climate Segment "," Carex planispicata",2
"f Climate Segment "," Carex planispicata",0
"a Climate Segment "," Carex plantaginea",3
"b Climate Segment "," Carex plantaginea",1
"c Climate Segment "," Carex plantaginea",1
"d Climate Segment "," Carex plantaginea",0
"e Climate Segment "," Carex plantaginea",2
"f Climate Segment "," Carex plantaginea",0
"a Climate Segment "," Carex platyphylla",0
"b Climate Segment "," Carex platyphylla",0
"c Climate Segment "," Carex platyphylla",2
"d Climate Segment "," Carex platyphylla",1
"e Climate Segment "," Carex platyphylla",4
"f Climate Segment "," Carex platyphylla",0
"a Climate Segment "," Carex prairea",5
"b Climate Segment "," Carex prairea",2
"c Climate Segment "," Carex prairea",1
"d Climate Segment "," Carex prairea",1
"e Climate Segment "," Carex prairea",0
"f Climate Segment "," Carex prairea",0
"a Climate Segment "," Carex prasina",1
"b Climate Segment "," Carex prasina",2
"c Climate Segment "," Carex prasina",1
"d Climate Segment "," Carex prasina",3
"e Climate Segment "," Carex prasina",6
"f Climate Segment "," Carex prasina",1
"a Climate Segment "," Carex radiata",6
"b Climate Segment "," Carex radiata",8
"c Climate Segment "," Carex radiata",10
"d Climate Segment "," Carex radiata",6
"e Climate Segment "," Carex radiata",7
"f Climate Segment "," Carex radiata",5
"a Climate Segment "," Carex retroflexa",0
"b Climate Segment "," Carex retroflexa",0
"c Climate Segment "," Carex retroflexa",0
"d Climate Segment "," Carex retroflexa",2
"e Climate Segment "," Carex retroflexa",1
"f Climate Segment "," Carex retroflexa",2
"a Climate Segment "," Carex richardsonii",1
"b Climate Segment "," Carex richardsonii",0
"c Climate Segment "," Carex richardsonii",0
"d Climate Segment "," Carex richardsonii",0
"e Climate Segment "," Carex richardsonii",0
"f Climate Segment "," Carex richardsonii",0
"a Climate Segment "," Carex rosea",10
"b Climate Segment "," Carex rosea",9
"c Climate Segment "," Carex rosea",10
"d Climate Segment "," Carex rosea",6
"e Climate Segment "," Carex rosea",14
"f Climate Segment "," Carex rosea",3
"a Climate Segment "," Carex sartwellii",5
"b Climate Segment "," Carex sartwellii",1
"c Climate Segment "," Carex sartwellii",0
"d Climate Segment "," Carex sartwellii",0
"e Climate Segment "," Carex sartwellii",0
"f Climate Segment "," Carex sartwellii",0
"a Climate Segment "," Carex scoparia",10
"b Climate Segment "," Carex scoparia",2
"c Climate Segment "," Carex scoparia",0
"d Climate Segment "," Carex scoparia",1
"e Climate Segment "," Carex scoparia",1
"f Climate Segment "," Carex scoparia",0
"a Climate Segment "," Carex shortiana",0
"b Climate Segment "," Carex shortiana",8
"c Climate Segment "," Carex shortiana",13
"d Climate Segment "," Carex shortiana",7
"e Climate Segment "," Carex shortiana",9
"f Climate Segment "," Carex shortiana",5
"a Climate Segment "," Carex siccata",5
"b Climate Segment "," Carex siccata",0
"c Climate Segment "," Carex siccata",0
"d Climate Segment "," Carex siccata",0
"e Climate Segment "," Carex siccata",0
"f Climate Segment "," Carex siccata",0
"a Climate Segment "," Carex sparganioides",10
"b Climate Segment "," Carex sparganioides",13
"c Climate Segment "," Carex sparganioides",14
"d Climate Segment "," Carex sparganioides",7
"e Climate Segment "," Carex sparganioides",8
"f Climate Segment "," Carex sparganioides",1
"a Climate Segment "," Carex sprengelii",3
"b Climate Segment "," Carex sprengelii",3
"c Climate Segment "," Carex sprengelii",0
"d Climate Segment "," Carex sprengelii",0
"e Climate Segment "," Carex sprengelii",0
"f Climate Segment "," Carex sprengelii",0
"a Climate Segment "," Carex squarrosa",0
"b Climate Segment "," Carex squarrosa",6
"c Climate Segment "," Carex squarrosa",6
"d Climate Segment "," Carex squarrosa",6
"e Climate Segment "," Carex squarrosa",11
"f Climate Segment "," Carex squarrosa",6
"a Climate Segment "," Carex sterilis",2
"b Climate Segment "," Carex sterilis",3
"c Climate Segment "," Carex sterilis",0
"d Climate Segment "," Carex sterilis",1
"e Climate Segment "," Carex sterilis",0
"f Climate Segment "," Carex sterilis",0
"a Climate Segment "," Carex stipata",11
"b Climate Segment "," Carex stipata",8
"c Climate Segment "," Carex stipata",8
"d Climate Segment "," Carex stipata",5
"e Climate Segment "," Carex stipata",8
"f Climate Segment "," Carex stipata",4
"a Climate Segment "," Carex straminea",1
"b Climate Segment "," Carex straminea",1
"c Climate Segment "," Carex straminea",0
"d Climate Segment "," Carex straminea",0
"e Climate Segment "," Carex straminea",0
"f Climate Segment "," Carex straminea",1
"a Climate Segment "," Carex stricta",10
"b Climate Segment "," Carex stricta",5
"c Climate Segment "," Carex stricta",0
"d Climate Segment "," Carex stricta",1
"e Climate Segment "," Carex stricta",0
"f Climate Segment "," Carex stricta",0
"a Climate Segment "," Carex suberecta",9
"b Climate Segment "," Carex suberecta",2
"c Climate Segment "," Carex suberecta",0
"d Climate Segment "," Carex suberecta",2
"e Climate Segment "," Carex suberecta",0
"f Climate Segment "," Carex suberecta",0
"a Climate Segment "," Carex swanii",13
"b Climate Segment "," Carex swanii",4
"c Climate Segment "," Carex swanii",3
"d Climate Segment "," Carex swanii",3
"e Climate Segment "," Carex swanii",4
"f Climate Segment "," Carex swanii",4
"a Climate Segment "," Carex tenera",1
"b Climate Segment "," Carex tenera",0
"c Climate Segment "," Carex tenera",0
"d Climate Segment "," Carex tenera",0
"e Climate Segment "," Carex tenera",0
"f Climate Segment "," Carex tenera",0
"a Climate Segment "," Carex tetanica",5
"b Climate Segment "," Carex tetanica",1
"c Climate Segment "," Carex tetanica",0
"d Climate Segment "," Carex tetanica",0
"e Climate Segment "," Carex tetanica",0
"f Climate Segment "," Carex tetanica",0
"a Climate Segment "," Carex texensis",0
"b Climate Segment "," Carex texensis",0
"c Climate Segment "," Carex texensis",0
"d Climate Segment "," Carex texensis",0
"e Climate Segment "," Carex texensis",0
"f Climate Segment "," Carex texensis",1
"a Climate Segment "," Carex timida",0
"b Climate Segment "," Carex timida",0
"c Climate Segment "," Carex timida",2
"d Climate Segment "," Carex timida",0
"e Climate Segment "," Carex timida",0
"f Climate Segment "," Carex timida",0
"a Climate Segment "," Carex tonsa",5
"b Climate Segment "," Carex tonsa",0
"c Climate Segment "," Carex tonsa",0
"d Climate Segment "," Carex tonsa",0
"e Climate Segment "," Carex tonsa",0
"f Climate Segment "," Carex tonsa",0
"a Climate Segment "," Carex torta",0
"b Climate Segment "," Carex torta",2
"c Climate Segment "," Carex torta",1
"d Climate Segment "," Carex torta",2
"e Climate Segment "," Carex torta",2
"f Climate Segment "," Carex torta",0
"a Climate Segment "," Carex tribuloides",9
"b Climate Segment "," Carex tribuloides",7
"c Climate Segment "," Carex tribuloides",5
"d Climate Segment "," Carex tribuloides",6
"e Climate Segment "," Carex tribuloides",8
"f Climate Segment "," Carex tribuloides",6
"a Climate Segment "," Carex trichocarpa",0
"b Climate Segment "," Carex trichocarpa",2
"c Climate Segment "," Carex trichocarpa",2
"d Climate Segment "," Carex trichocarpa",1
"e Climate Segment "," Carex trichocarpa",0
"f Climate Segment "," Carex trichocarpa",0
"a Climate Segment "," Carex trisperma",8
"b Climate Segment "," Carex trisperma",0
"c Climate Segment "," Carex trisperma",0
"d Climate Segment "," Carex trisperma",0
"e Climate Segment "," Carex trisperma",0
"f Climate Segment "," Carex trisperma",0
"a Climate Segment "," Carex tuckermanii",2
"b Climate Segment "," Carex tuckermanii",6
"c Climate Segment "," Carex tuckermanii",1
"d Climate Segment "," Carex tuckermanii",0
"e Climate Segment "," Carex tuckermanii",0
"f Climate Segment "," Carex tuckermanii",0
"a Climate Segment "," Carex typhina",2
"b Climate Segment "," Carex typhina",2
"c Climate Segment "," Carex typhina",0
"d Climate Segment "," Carex typhina",1
"e Climate Segment "," Carex typhina",7
"f Climate Segment "," Carex typhina",3
"a Climate Segment "," Carex umbellata",1
"b Climate Segment "," Carex umbellata",3
"c Climate Segment "," Carex umbellata",0
"d Climate Segment "," Carex umbellata",1
"e Climate Segment "," Carex umbellata",6
"f Climate Segment "," Carex umbellata",2
"a Climate Segment "," Carex utriculata",4
"b Climate Segment "," Carex utriculata",1
"c Climate Segment "," Carex utriculata",0
"d Climate Segment "," Carex utriculata",0
"e Climate Segment "," Carex utriculata",0
"f Climate Segment "," Carex utriculata",0
"a Climate Segment "," Carex vesicaria",4
"b Climate Segment "," Carex vesicaria",1
"c Climate Segment "," Carex vesicaria",0
"d Climate Segment "," Carex vesicaria",0
"e Climate Segment "," Carex vesicaria",0
"f Climate Segment "," Carex vesicaria",0
"a Climate Segment "," Carex virescens",0
"b Climate Segment "," Carex virescens",0
"c Climate Segment "," Carex virescens",3
"d Climate Segment "," Carex virescens",4
"e Climate Segment "," Carex virescens",7
"f Climate Segment "," Carex virescens",3
"a Climate Segment "," Carex viridistellata",0
"b Climate Segment "," Carex viridistellata",1
"c Climate Segment "," Carex viridistellata",0
"d Climate Segment "," Carex viridistellata",0
"e Climate Segment "," Carex viridistellata",0
"f Climate Segment "," Carex viridistellata",0
"a Climate Segment "," Carex viridula",9
"b Climate Segment "," Carex viridula",2
"c Climate Segment "," Carex viridula",0
"d Climate Segment "," Carex viridula",0
"e Climate Segment "," Carex viridula",0
"f Climate Segment "," Carex viridula",0
"a Climate Segment "," Carex vulpinoidea",16
"b Climate Segment "," Carex vulpinoidea",12
"c Climate Segment "," Carex vulpinoidea",13
"d Climate Segment "," Carex vulpinoidea",9
"e Climate Segment "," Carex vulpinoidea",14
"f Climate Segment "," Carex vulpinoidea",7
"a Climate Segment "," Carex willdenowii",0
"b Climate Segment "," Carex willdenowii",0
"c Climate Segment "," Carex willdenowii",3
"d Climate Segment "," Carex willdenowii",3
"e Climate Segment "," Carex willdenowii",12
"f Climate Segment "," Carex willdenowii",4
"a Climate Segment "," Carex woodii",3
"b Climate Segment "," Carex woodii",0
"c Climate Segment "," Carex woodii",0
"d Climate Segment "," Carex woodii",0
"e Climate Segment "," Carex woodii",0
"f Climate Segment "," Carex woodii",0
"a Climate Segment "," Carpinus caroliniana",10
"b Climate Segment "," Carpinus caroliniana",12
"c Climate Segment "," Carpinus caroliniana",13
"d Climate Segment "," Carpinus caroliniana",7
"e Climate Segment "," Carpinus caroliniana",12
"f Climate Segment "," Carpinus caroliniana",4
"a Climate Segment "," Carya cordiformis",4
"b Climate Segment "," Carya cordiformis",7
"c Climate Segment "," Carya cordiformis",9
"d Climate Segment "," Carya cordiformis",7
"e Climate Segment "," Carya cordiformis",6
"f Climate Segment "," Carya cordiformis",6
"a Climate Segment "," Carya glabra",9
"b Climate Segment "," Carya glabra",5
"c Climate Segment "," Carya glabra",7
"d Climate Segment "," Carya glabra",7
"e Climate Segment "," Carya glabra",10
"f Climate Segment "," Carya glabra",4
"a Climate Segment "," Carya illinoinensis",0
"b Climate Segment "," Carya illinoinensis",1
"c Climate Segment "," Carya illinoinensis",1
"d Climate Segment "," Carya illinoinensis",2
"e Climate Segment "," Carya illinoinensis",1
"f Climate Segment "," Carya illinoinensis",4
"a Climate Segment "," Carya laciniosa",3
"b Climate Segment "," Carya laciniosa",2
"c Climate Segment "," Carya laciniosa",4
"d Climate Segment "," Carya laciniosa",3
"e Climate Segment "," Carya laciniosa",4
"f Climate Segment "," Carya laciniosa",3
"a Climate Segment "," Carya ovata",4
"b Climate Segment "," Carya ovata",7
"c Climate Segment "," Carya ovata",7
"d Climate Segment "," Carya ovata",3
"e Climate Segment "," Carya ovata",8
"f Climate Segment "," Carya ovata",3
"a Climate Segment "," Carya pallida",0
"b Climate Segment "," Carya pallida",0
"c Climate Segment "," Carya pallida",0
"d Climate Segment "," Carya pallida",0
"e Climate Segment "," Carya pallida",1
"f Climate Segment "," Carya pallida",0
"a Climate Segment "," Carya tomentosa",6
"b Climate Segment "," Carya tomentosa",2
"c Climate Segment "," Carya tomentosa",0
"d Climate Segment "," Carya tomentosa",4
"e Climate Segment "," Carya tomentosa",4
"f Climate Segment "," Carya tomentosa",5
"a Climate Segment "," Castanea dentata",0
"b Climate Segment "," Castanea dentata",0
"c Climate Segment "," Castanea dentata",1
"d Climate Segment "," Castanea dentata",1
"e Climate Segment "," Castanea dentata",7
"f Climate Segment "," Castanea dentata",1
"a Climate Segment "," Castilleja coccinea",10
"b Climate Segment "," Castilleja coccinea",1
"c Climate Segment "," Castilleja coccinea",0
"d Climate Segment "," Castilleja coccinea",0
"e Climate Segment "," Castilleja coccinea",0
"f Climate Segment "," Castilleja coccinea",0
"a Climate Segment "," Catalpa speciosa",0
"b Climate Segment "," Catalpa speciosa",1
"c Climate Segment "," Catalpa speciosa",1
"d Climate Segment "," Catalpa speciosa",0
"e Climate Segment "," Catalpa speciosa",1
"f Climate Segment "," Catalpa speciosa",5
"a Climate Segment "," Caulophyllum thalictroides",9
"b Climate Segment "," Caulophyllum thalictroides",10
"c Climate Segment "," Caulophyllum thalictroides",10
"d Climate Segment "," Caulophyllum thalictroides",6
"e Climate Segment "," Caulophyllum thalictroides",9
"f Climate Segment "," Caulophyllum thalictroides",2
"a Climate Segment "," Ceanothus americanus",17
"b Climate Segment "," Ceanothus americanus",9
"c Climate Segment "," Ceanothus americanus",2
"d Climate Segment "," Ceanothus americanus",6
"e Climate Segment "," Ceanothus americanus",5
"f Climate Segment "," Ceanothus americanus",6
"a Climate Segment "," Celastrus scandens",10
"b Climate Segment "," Celastrus scandens",14
"c Climate Segment "," Celastrus scandens",11
"d Climate Segment "," Celastrus scandens",10
"e Climate Segment "," Celastrus scandens",15
"f Climate Segment "," Celastrus scandens",7
"a Climate Segment "," Celtis laevigata",0
"b Climate Segment "," Celtis laevigata",0
"c Climate Segment "," Celtis laevigata",0
"d Climate Segment "," Celtis laevigata",1
"e Climate Segment "," Celtis laevigata",3
"f Climate Segment "," Celtis laevigata",4
"a Climate Segment "," Celtis occidentalis",5
"b Climate Segment "," Celtis occidentalis",6
"c Climate Segment "," Celtis occidentalis",8
"d Climate Segment "," Celtis occidentalis",4
"e Climate Segment "," Celtis occidentalis",6
"f Climate Segment "," Celtis occidentalis",6
"a Climate Segment "," Celtis tenuifolia",2
"b Climate Segment "," Celtis tenuifolia",0
"c Climate Segment "," Celtis tenuifolia",0
"d Climate Segment "," Celtis tenuifolia",1
"e Climate Segment "," Celtis tenuifolia",4
"f Climate Segment "," Celtis tenuifolia",3
"a Climate Segment "," Cenchrus longispinus",11
"b Climate Segment "," Cenchrus longispinus",4
"c Climate Segment "," Cenchrus longispinus",3
"d Climate Segment "," Cenchrus longispinus",4
"e Climate Segment "," Cenchrus longispinus",1
"f Climate Segment "," Cenchrus longispinus",4
"a Climate Segment "," Centaurea stoebe",0
"b Climate Segment "," Centaurea stoebe",0
"c Climate Segment "," Centaurea stoebe",0
"d Climate Segment "," Centaurea stoebe",0
"e Climate Segment "," Centaurea stoebe",1
"f Climate Segment "," Centaurea stoebe",0
"a Climate Segment "," Cephalanthus occidentalis",16
"b Climate Segment "," Cephalanthus occidentalis",11
"c Climate Segment "," Cephalanthus occidentalis",11
"d Climate Segment "," Cephalanthus occidentalis",7
"e Climate Segment "," Cephalanthus occidentalis",12
"f Climate Segment "," Cephalanthus occidentalis",7
"a Climate Segment "," Cerastium arvense",2
"b Climate Segment "," Cerastium arvense",1
"c Climate Segment "," Cerastium arvense",0
"d Climate Segment "," Cerastium arvense",0
"e Climate Segment "," Cerastium arvense",0
"f Climate Segment "," Cerastium arvense",0
"a Climate Segment "," Cerastium fontanum",14
"b Climate Segment "," Cerastium fontanum",6
"c Climate Segment "," Cerastium fontanum",8
"d Climate Segment "," Cerastium fontanum",6
"e Climate Segment "," Cerastium fontanum",7
"f Climate Segment "," Cerastium fontanum",1
"a Climate Segment "," Cerastium nutans",0
"b Climate Segment "," Cerastium nutans",6
"c Climate Segment "," Cerastium nutans",2
"d Climate Segment "," Cerastium nutans",7
"e Climate Segment "," Cerastium nutans",6
"f Climate Segment "," Cerastium nutans",2
"a Climate Segment "," Cerastium velutinum",0
"b Climate Segment "," Cerastium velutinum",5
"c Climate Segment "," Cerastium velutinum",2
"d Climate Segment "," Cerastium velutinum",0
"e Climate Segment "," Cerastium velutinum",0
"f Climate Segment "," Cerastium velutinum",0
"a Climate Segment "," Ceratophyllum demersum",9
"b Climate Segment "," Ceratophyllum demersum",5
"c Climate Segment "," Ceratophyllum demersum",1
"d Climate Segment "," Ceratophyllum demersum",2
"e Climate Segment "," Ceratophyllum demersum",0
"f Climate Segment "," Ceratophyllum demersum",2
"a Climate Segment "," Cercis canadensis",7
"b Climate Segment "," Cercis canadensis",11
"c Climate Segment "," Cercis canadensis",16
"d Climate Segment "," Cercis canadensis",11
"e Climate Segment "," Cercis canadensis",14
"f Climate Segment "," Cercis canadensis",6
"a Climate Segment "," Chaerophyllum procumbens",0
"b Climate Segment "," Chaerophyllum procumbens",8
"c Climate Segment "," Chaerophyllum procumbens",9
"d Climate Segment "," Chaerophyllum procumbens",9
"e Climate Segment "," Chaerophyllum procumbens",8
"f Climate Segment "," Chaerophyllum procumbens",4
"a Climate Segment "," Chaerophyllum tainturieri",0
"b Climate Segment "," Chaerophyllum tainturieri",0
"c Climate Segment "," Chaerophyllum tainturieri",0
"d Climate Segment "," Chaerophyllum tainturieri",0
"e Climate Segment "," Chaerophyllum tainturieri",0
"f Climate Segment "," Chaerophyllum tainturieri",1
"a Climate Segment "," Chamaecrista fasciculata",7
"b Climate Segment "," Chamaecrista fasciculata",4
"c Climate Segment "," Chamaecrista fasciculata",4
"d Climate Segment "," Chamaecrista fasciculata",6
"e Climate Segment "," Chamaecrista fasciculata",6
"f Climate Segment "," Chamaecrista fasciculata",5
"a Climate Segment "," Chamaecrista nictitans",6
"b Climate Segment "," Chamaecrista nictitans",0
"c Climate Segment "," Chamaecrista nictitans",0
"d Climate Segment "," Chamaecrista nictitans",5
"e Climate Segment "," Chamaecrista nictitans",7
"f Climate Segment "," Chamaecrista nictitans",3
"a Climate Segment "," Chamaedaphne calyculata",7
"b Climate Segment "," Chamaedaphne calyculata",1
"c Climate Segment "," Chamaedaphne calyculata",0
"d Climate Segment "," Chamaedaphne calyculata",0
"e Climate Segment "," Chamaedaphne calyculata",0
"f Climate Segment "," Chamaedaphne calyculata",0
"a Climate Segment "," Chamaelirium luteum",0
"b Climate Segment "," Chamaelirium luteum",0
"c Climate Segment "," Chamaelirium luteum",0
"d Climate Segment "," Chamaelirium luteum",0
"e Climate Segment "," Chamaelirium luteum",1
"f Climate Segment "," Chamaelirium luteum",1
"a Climate Segment "," Chamaenerion angustifolium",11
"b Climate Segment "," Chamaenerion angustifolium",2
"c Climate Segment "," Chamaenerion angustifolium",2
"d Climate Segment "," Chamaenerion angustifolium",0
"e Climate Segment "," Chamaenerion angustifolium",0
"f Climate Segment "," Chamaenerion angustifolium",0
"a Climate Segment "," Chasmanthium latifolium",0
"b Climate Segment "," Chasmanthium latifolium",0
"c Climate Segment "," Chasmanthium latifolium",1
"d Climate Segment "," Chasmanthium latifolium",1
"e Climate Segment "," Chasmanthium latifolium",9
"f Climate Segment "," Chasmanthium latifolium",5
"a Climate Segment "," Chelone glabra",11
"b Climate Segment "," Chelone glabra",13
"c Climate Segment "," Chelone glabra",6
"d Climate Segment "," Chelone glabra",4
"e Climate Segment "," Chelone glabra",5
"f Climate Segment "," Chelone glabra",1
"a Climate Segment "," Chelone obliqua",0
"b Climate Segment "," Chelone obliqua",3
"c Climate Segment "," Chelone obliqua",2
"d Climate Segment "," Chelone obliqua",3
"e Climate Segment "," Chelone obliqua",1
"f Climate Segment "," Chelone obliqua",3
"a Climate Segment "," Chenopodiastrum simplex",8
"b Climate Segment "," Chenopodiastrum simplex",3
"c Climate Segment "," Chenopodiastrum simplex",0
"d Climate Segment "," Chenopodiastrum simplex",0
"e Climate Segment "," Chenopodiastrum simplex",0
"f Climate Segment "," Chenopodiastrum simplex",0
"a Climate Segment "," Chenopodium berlandieri",4
"b Climate Segment "," Chenopodium berlandieri",4
"c Climate Segment "," Chenopodium berlandieri",0
"d Climate Segment "," Chenopodium berlandieri",5
"e Climate Segment "," Chenopodium berlandieri",2
"f Climate Segment "," Chenopodium berlandieri",2
"a Climate Segment "," Chenopodium pratericola",6
"b Climate Segment "," Chenopodium pratericola",0
"c Climate Segment "," Chenopodium pratericola",0
"d Climate Segment "," Chenopodium pratericola",0
"e Climate Segment "," Chenopodium pratericola",0
"f Climate Segment "," Chenopodium pratericola",0
"a Climate Segment "," Chenopodium standleyanum",4
"b Climate Segment "," Chenopodium standleyanum",5
"c Climate Segment "," Chenopodium standleyanum",1
"d Climate Segment "," Chenopodium standleyanum",4
"e Climate Segment "," Chenopodium standleyanum",1
"f Climate Segment "," Chenopodium standleyanum",2
"a Climate Segment "," Chimaphila maculata",0
"b Climate Segment "," Chimaphila maculata",0
"c Climate Segment "," Chimaphila maculata",2
"d Climate Segment "," Chimaphila maculata",0
"e Climate Segment "," Chimaphila maculata",2
"f Climate Segment "," Chimaphila maculata",1
"a Climate Segment "," Chimaphila umbellata",7
"b Climate Segment "," Chimaphila umbellata",0
"c Climate Segment "," Chimaphila umbellata",0
"d Climate Segment "," Chimaphila umbellata",0
"e Climate Segment "," Chimaphila umbellata",0
"f Climate Segment "," Chimaphila umbellata",0
"a Climate Segment "," Chrysosplenium americanum",1
"b Climate Segment "," Chrysosplenium americanum",0
"c Climate Segment "," Chrysosplenium americanum",0
"d Climate Segment "," Chrysosplenium americanum",0
"e Climate Segment "," Chrysosplenium americanum",0
"f Climate Segment "," Chrysosplenium americanum",0
"a Climate Segment "," Cicuta bulbifera",9
"b Climate Segment "," Cicuta bulbifera",6
"c Climate Segment "," Cicuta bulbifera",1
"d Climate Segment "," Cicuta bulbifera",0
"e Climate Segment "," Cicuta bulbifera",0
"f Climate Segment "," Cicuta bulbifera",0
"a Climate Segment "," Cicuta maculata",16
"b Climate Segment "," Cicuta maculata",13
"c Climate Segment "," Cicuta maculata",13
"d Climate Segment "," Cicuta maculata",7
"e Climate Segment "," Cicuta maculata",9
"f Climate Segment "," Cicuta maculata",5
