"","climateSegment","speciesName","count"
"2622","f Climate Segment "," Conoclinium coelestinum",7
"2641","a Climate Segment "," Coptis trifolia",6
"2642","b Climate Segment "," Coptis trifolia",1
"2643","c Climate Segment "," Coptis trifolia",0
"2644","d Climate Segment "," Coptis trifolia",0
"2645","e Climate Segment "," Coptis trifolia",0
"2646","f Climate Segment "," Coptis trifolia",0
"2659","a Climate Segment "," Corallorhiza wisteriana",0
"2660","b Climate Segment "," Corallorhiza wisteriana",0
"2661","c Climate Segment "," Corallorhiza wisteriana",2
"2662","d Climate Segment "," Corallorhiza wisteriana",5
"2663","e Climate Segment "," Corallorhiza wisteriana",9
"2664","f Climate Segment "," Corallorhiza wisteriana",4
"2671","a Climate Segment "," Coreopsis palmata",13
"2672","b Climate Segment "," Coreopsis palmata",2
"2673","c Climate Segment "," Coreopsis palmata",0
"2674","d Climate Segment "," Coreopsis palmata",0
"2675","e Climate Segment "," Coreopsis palmata",0
"2676","f Climate Segment "," Coreopsis palmata",0
"2677","a Climate Segment "," Coreopsis tripteris",17
"2678","b Climate Segment "," Coreopsis tripteris",8
"2679","c Climate Segment "," Coreopsis tripteris",2
"2680","d Climate Segment "," Coreopsis tripteris",4
"2681","e Climate Segment "," Coreopsis tripteris",5
"2682","f Climate Segment "," Coreopsis tripteris",4
"2713","a Climate Segment "," Cornus drummondii",1
"2714","b Climate Segment "," Cornus drummondii",9
"2715","c Climate Segment "," Cornus drummondii",14
"2716","d Climate Segment "," Cornus drummondii",10
"2717","e Climate Segment "," Cornus drummondii",9
"2718","f Climate Segment "," Cornus drummondii",4
"2725","a Climate Segment "," Cornus foemina",1
"2726","b Climate Segment "," Cornus foemina",0
"2727","c Climate Segment "," Cornus foemina",0
"2728","d Climate Segment "," Cornus foemina",1
"2729","e Climate Segment "," Cornus foemina",4
"2730","f Climate Segment "," Cornus foemina",5
"2737","a Climate Segment "," Cornus racemosa",17
"2738","b Climate Segment "," Cornus racemosa",12
"2739","c Climate Segment "," Cornus racemosa",6
"2740","d Climate Segment "," Cornus racemosa",1
"2741","e Climate Segment "," Cornus racemosa",4
"2742","f Climate Segment "," Cornus racemosa",1
"2749","a Climate Segment "," Cornus sericea",13
"2750","b Climate Segment "," Cornus sericea",4
"2751","c Climate Segment "," Cornus sericea",2
"2752","d Climate Segment "," Cornus sericea",1
"2753","e Climate Segment "," Cornus sericea",0
"2754","f Climate Segment "," Cornus sericea",0
"2755","a Climate Segment "," Corydalis flavula",1
"2756","b Climate Segment "," Corydalis flavula",3
"2757","c Climate Segment "," Corydalis flavula",1
"2758","d Climate Segment "," Corydalis flavula",3
"2759","e Climate Segment "," Corydalis flavula",9
"2760","f Climate Segment "," Corydalis flavula",5
"2863","a Climate Segment "," Crataegus viridis",0
"2864","b Climate Segment "," Crataegus viridis",0
"2865","c Climate Segment "," Crataegus viridis",0
"2866","d Climate Segment "," Crataegus viridis",0
"2867","e Climate Segment "," Crataegus viridis",1
"2868","f Climate Segment "," Crataegus viridis",3
"2869","a Climate Segment "," Crocanthemum bicknellii",7
"2870","b Climate Segment "," Crocanthemum bicknellii",2
"2871","c Climate Segment "," Crocanthemum bicknellii",0
"2872","d Climate Segment "," Crocanthemum bicknellii",2
"2873","e Climate Segment "," Crocanthemum bicknellii",0
"2874","f Climate Segment "," Crocanthemum bicknellii",0
"2875","a Climate Segment "," Crocanthemum canadense",13
"2876","b Climate Segment "," Crocanthemum canadense",3
"2877","c Climate Segment "," Crocanthemum canadense",0
"2878","d Climate Segment "," Crocanthemum canadense",1
"2879","e Climate Segment "," Crocanthemum canadense",1
"2880","f Climate Segment "," Crocanthemum canadense",0
"2905","a Climate Segment "," Cunila origanoides",0
"2906","b Climate Segment "," Cunila origanoides",0
"2907","c Climate Segment "," Cunila origanoides",1
"2908","d Climate Segment "," Cunila origanoides",2
"2909","e Climate Segment "," Cunila origanoides",5
"2910","f Climate Segment "," Cunila origanoides",2
"2911","a Climate Segment "," Cuphea viscosissima",0
"2912","b Climate Segment "," Cuphea viscosissima",1
"2913","c Climate Segment "," Cuphea viscosissima",1
"2914","d Climate Segment "," Cuphea viscosissima",3
"2915","e Climate Segment "," Cuphea viscosissima",9
"2916","f Climate Segment "," Cuphea viscosissima",4
"2917","a Climate Segment "," Cuscuta campestris",1
"2918","b Climate Segment "," Cuscuta campestris",2
"2919","c Climate Segment "," Cuscuta campestris",1
"2920","d Climate Segment "," Cuscuta campestris",1
"2921","e Climate Segment "," Cuscuta campestris",6
"2922","f Climate Segment "," Cuscuta campestris",4
"2929","a Climate Segment "," Cuscuta compacta",0
"2930","b Climate Segment "," Cuscuta compacta",0
"2931","c Climate Segment "," Cuscuta compacta",0
"2932","d Climate Segment "," Cuscuta compacta",2
"2933","e Climate Segment "," Cuscuta compacta",4
"2934","f Climate Segment "," Cuscuta compacta",4
"2971","a Climate Segment "," Cycloloma atriplicifolium",11
"2972","b Climate Segment "," Cycloloma atriplicifolium",0
"2973","c Climate Segment "," Cycloloma atriplicifolium",0
"2974","d Climate Segment "," Cycloloma atriplicifolium",2
"2975","e Climate Segment "," Cycloloma atriplicifolium",1
"2976","f Climate Segment "," Cycloloma atriplicifolium",2
"2977","a Climate Segment "," Cynanchum laeve",0
"2978","b Climate Segment "," Cynanchum laeve",2
"2979","c Climate Segment "," Cynanchum laeve",0
"2980","d Climate Segment "," Cynanchum laeve",6
"2981","e Climate Segment "," Cynanchum laeve",7
"2982","f Climate Segment "," Cynanchum laeve",6
"2983","a Climate Segment "," Cynoglossum virginianum",1
"2984","b Climate Segment "," Cynoglossum virginianum",0
"2985","c Climate Segment "," Cynoglossum virginianum",3
"2986","d Climate Segment "," Cynoglossum virginianum",6
"2987","e Climate Segment "," Cynoglossum virginianum",11
"2988","f Climate Segment "," Cynoglossum virginianum",6
"3007","a Climate Segment "," Cyperus diandrus",6
"3008","b Climate Segment "," Cyperus diandrus",2
"3009","c Climate Segment "," Cyperus diandrus",0
"3010","d Climate Segment "," Cyperus diandrus",0
"3011","e Climate Segment "," Cyperus diandrus",0
"3012","f Climate Segment "," Cyperus diandrus",0
"3031","a Climate Segment "," Cyperus flavescens",0
"3032","b Climate Segment "," Cyperus flavescens",1
"3033","c Climate Segment "," Cyperus flavescens",0
"3034","d Climate Segment "," Cyperus flavescens",2
"3035","e Climate Segment "," Cyperus flavescens",5
"3036","f Climate Segment "," Cyperus flavescens",4
"3043","a Climate Segment "," Cyperus lupulinus",16
"3044","b Climate Segment "," Cyperus lupulinus",4
"3045","c Climate Segment "," Cyperus lupulinus",0
"3046","d Climate Segment "," Cyperus lupulinus",3
"3047","e Climate Segment "," Cyperus lupulinus",1
"3048","f Climate Segment "," Cyperus lupulinus",2
"3055","a Climate Segment "," Cyperus pseudovegetus",0
"3056","b Climate Segment "," Cyperus pseudovegetus",0
"3057","c Climate Segment "," Cyperus pseudovegetus",0
"3058","d Climate Segment "," Cyperus pseudovegetus",0
"3059","e Climate Segment "," Cyperus pseudovegetus",1
"3060","f Climate Segment "," Cyperus pseudovegetus",2
"3079","a Climate Segment "," Cypripedium acaule",6
"3080","b Climate Segment "," Cypripedium acaule",2
"3081","c Climate Segment "," Cypripedium acaule",0
"3082","d Climate Segment "," Cypripedium acaule",0
"3083","e Climate Segment "," Cypripedium acaule",0
"3084","f Climate Segment "," Cypripedium acaule",0
"3085","a Climate Segment "," Cypripedium candidum",6
"3086","b Climate Segment "," Cypripedium candidum",0
"3087","c Climate Segment "," Cypripedium candidum",0
"3088","d Climate Segment "," Cypripedium candidum",0
"3089","e Climate Segment "," Cypripedium candidum",0
"3090","f Climate Segment "," Cypripedium candidum",0
"3139","a Climate Segment "," Dasiphora fruticosa",10
"3140","b Climate Segment "," Dasiphora fruticosa",3
"3141","c Climate Segment "," Dasiphora fruticosa",3
"3142","d Climate Segment "," Dasiphora fruticosa",1
"3143","e Climate Segment "," Dasiphora fruticosa",0
"3144","f Climate Segment "," Dasiphora fruticosa",0
"3151","a Climate Segment "," Decodon verticillatus",13
"3152","b Climate Segment "," Decodon verticillatus",6
"3153","c Climate Segment "," Decodon verticillatus",2
"3154","d Climate Segment "," Decodon verticillatus",1
"3155","e Climate Segment "," Decodon verticillatus",3
"3156","f Climate Segment "," Decodon verticillatus",0
"3157","a Climate Segment "," Delphinium tricorne",1
"3158","b Climate Segment "," Delphinium tricorne",5
"3159","c Climate Segment "," Delphinium tricorne",6
"3160","d Climate Segment "," Delphinium tricorne",5
"3161","e Climate Segment "," Delphinium tricorne",11
"3162","f Climate Segment "," Delphinium tricorne",5
"3193","a Climate Segment "," Desmanthus illinoensis",0
"3194","b Climate Segment "," Desmanthus illinoensis",0
"3195","c Climate Segment "," Desmanthus illinoensis",0
"3196","d Climate Segment "," Desmanthus illinoensis",1
"3197","e Climate Segment "," Desmanthus illinoensis",3
"3198","f Climate Segment "," Desmanthus illinoensis",2
"3229","a Climate Segment "," Desmodium illinoense",11
"3230","b Climate Segment "," Desmodium illinoense",4
"3231","c Climate Segment "," Desmodium illinoense",1
"3232","d Climate Segment "," Desmodium illinoense",0
"3233","e Climate Segment "," Desmodium illinoense",0
"3234","f Climate Segment "," Desmodium illinoense",0
"3235","a Climate Segment "," Desmodium laevigatum",0
"3236","b Climate Segment "," Desmodium laevigatum",0
"3237","c Climate Segment "," Desmodium laevigatum",0
"3238","d Climate Segment "," Desmodium laevigatum",0
"3239","e Climate Segment "," Desmodium laevigatum",2
"3240","f Climate Segment "," Desmodium laevigatum",2
"3247","a Climate Segment "," Desmodium nuttallii",0
"3248","b Climate Segment "," Desmodium nuttallii",0
"3249","c Climate Segment "," Desmodium nuttallii",0
"3250","d Climate Segment "," Desmodium nuttallii",0
"3251","e Climate Segment "," Desmodium nuttallii",2
"3252","f Climate Segment "," Desmodium nuttallii",4
"3277","a Climate Segment "," Desmodium sessilifolium",13
"3278","b Climate Segment "," Desmodium sessilifolium",3
"3279","c Climate Segment "," Desmodium sessilifolium",0
"3280","d Climate Segment "," Desmodium sessilifolium",2
"3281","e Climate Segment "," Desmodium sessilifolium",1
"3282","f Climate Segment "," Desmodium sessilifolium",1
"3283","a Climate Segment "," Dianthus armeria",0
"3284","b Climate Segment "," Dianthus armeria",0
"3285","c Climate Segment "," Dianthus armeria",0
"3286","d Climate Segment "," Dianthus armeria",2
"3287","e Climate Segment "," Dianthus armeria",4
"3288","f Climate Segment "," Dianthus armeria",2
"3289","a Climate Segment "," Diarrhena americana",0
"3290","b Climate Segment "," Diarrhena americana",2
"3291","c Climate Segment "," Diarrhena americana",5
"3292","d Climate Segment "," Diarrhena americana",4
"3293","e Climate Segment "," Diarrhena americana",8
"3294","f Climate Segment "," Diarrhena americana",3
"3325","a Climate Segment "," Dichanthelium boscii",0
"3326","b Climate Segment "," Dichanthelium boscii",0
"3327","c Climate Segment "," Dichanthelium boscii",5
"3328","d Climate Segment "," Dichanthelium boscii",9
"3329","e Climate Segment "," Dichanthelium boscii",12
"3330","f Climate Segment "," Dichanthelium boscii",7
"3337","a Climate Segment "," Dichanthelium commutatum",1
"3338","b Climate Segment "," Dichanthelium commutatum",0
"3339","c Climate Segment "," Dichanthelium commutatum",0
"3340","d Climate Segment "," Dichanthelium commutatum",3
"3341","e Climate Segment "," Dichanthelium commutatum",10
"3342","f Climate Segment "," Dichanthelium commutatum",2
"3349","a Climate Segment "," Dichanthelium depauperatum",9
"3350","b Climate Segment "," Dichanthelium depauperatum",1
"3351","c Climate Segment "," Dichanthelium depauperatum",0
"3352","d Climate Segment "," Dichanthelium depauperatum",1
"3353","e Climate Segment "," Dichanthelium depauperatum",3
"3354","f Climate Segment "," Dichanthelium depauperatum",2
"3355","a Climate Segment "," Dichanthelium dichotomum",12
"3356","b Climate Segment "," Dichanthelium dichotomum",2
"3357","c Climate Segment "," Dichanthelium dichotomum",4
"3358","d Climate Segment "," Dichanthelium dichotomum",7
"3359","e Climate Segment "," Dichanthelium dichotomum",13
"3360","f Climate Segment "," Dichanthelium dichotomum",6
"3361","a Climate Segment "," Dichanthelium latifolium",13
"3362","b Climate Segment "," Dichanthelium latifolium",10
"3363","c Climate Segment "," Dichanthelium latifolium",5
"3364","d Climate Segment "," Dichanthelium latifolium",2
"3365","e Climate Segment "," Dichanthelium latifolium",1
"3366","f Climate Segment "," Dichanthelium latifolium",1
"3367","a Climate Segment "," Dichanthelium laxiflorum",0
"3368","b Climate Segment "," Dichanthelium laxiflorum",0
"3369","c Climate Segment "," Dichanthelium laxiflorum",0
"3370","d Climate Segment "," Dichanthelium laxiflorum",2
"3371","e Climate Segment "," Dichanthelium laxiflorum",4
"3372","f Climate Segment "," Dichanthelium laxiflorum",4
"3385","a Climate Segment "," Dichanthelium oligosanthes",17
"3386","b Climate Segment "," Dichanthelium oligosanthes",4
"3387","c Climate Segment "," Dichanthelium oligosanthes",0
"3388","d Climate Segment "," Dichanthelium oligosanthes",2
"3389","e Climate Segment "," Dichanthelium oligosanthes",1
"3390","f Climate Segment "," Dichanthelium oligosanthes",1
"3391","a Climate Segment "," Dichanthelium ovale",15
"3392","b Climate Segment "," Dichanthelium ovale",2
"3393","c Climate Segment "," Dichanthelium ovale",0
"3394","d Climate Segment "," Dichanthelium ovale",0
"3395","e Climate Segment "," Dichanthelium ovale",0
"3396","f Climate Segment "," Dichanthelium ovale",1
"3397","a Climate Segment "," Dichanthelium perlongum",10
"3398","b Climate Segment "," Dichanthelium perlongum",0
"3399","c Climate Segment "," Dichanthelium perlongum",0
"3400","d Climate Segment "," Dichanthelium perlongum",0
"3401","e Climate Segment "," Dichanthelium perlongum",0
"3402","f Climate Segment "," Dichanthelium perlongum",0
"3403","a Climate Segment "," Dichanthelium polyanthes",0
"3404","b Climate Segment "," Dichanthelium polyanthes",0
"3405","c Climate Segment "," Dichanthelium polyanthes",0
"3406","d Climate Segment "," Dichanthelium polyanthes",3
"3407","e Climate Segment "," Dichanthelium polyanthes",10
"3408","f Climate Segment "," Dichanthelium polyanthes",7
"3415","a Climate Segment "," Dicliptera brachiata",0
"3416","b Climate Segment "," Dicliptera brachiata",0
"3417","c Climate Segment "," Dicliptera brachiata",0
"3418","d Climate Segment "," Dicliptera brachiata",0
"3419","e Climate Segment "," Dicliptera brachiata",0
"3420","f Climate Segment "," Dicliptera brachiata",2
"3427","a Climate Segment "," Diervilla lonicera",6
"3428","b Climate Segment "," Diervilla lonicera",1
"3429","c Climate Segment "," Diervilla lonicera",0
"3430","d Climate Segment "," Diervilla lonicera",0
"3431","e Climate Segment "," Diervilla lonicera",0
"3432","f Climate Segment "," Diervilla lonicera",0
"3433","a Climate Segment "," Digitaria cognata",14
"3434","b Climate Segment "," Digitaria cognata",4
"3435","c Climate Segment "," Digitaria cognata",1
"3436","d Climate Segment "," Digitaria cognata",3
"3437","e Climate Segment "," Digitaria cognata",1
"3438","f Climate Segment "," Digitaria cognata",0
"3445","a Climate Segment "," Dinebra panicea",0
"3446","b Climate Segment "," Dinebra panicea",0
"3447","c Climate Segment "," Dinebra panicea",0
"3448","d Climate Segment "," Dinebra panicea",0
"3449","e Climate Segment "," Dinebra panicea",2
"3450","f Climate Segment "," Dinebra panicea",4
"3457","a Climate Segment "," Diodia teres",0
"3458","b Climate Segment "," Diodia teres",0
"3459","c Climate Segment "," Diodia teres",3
"3460","d Climate Segment "," Diodia teres",6
"3461","e Climate Segment "," Diodia teres",10
"3462","f Climate Segment "," Diodia teres",6
"3469","a Climate Segment "," Diospyros virginiana",0
"3470","b Climate Segment "," Diospyros virginiana",0
"3471","c Climate Segment "," Diospyros virginiana",0
"3472","d Climate Segment "," Diospyros virginiana",2
"3473","e Climate Segment "," Diospyros virginiana",6
"3474","f Climate Segment "," Diospyros virginiana",3
"3487","a Climate Segment "," Doellingeria umbellata",15
"3488","b Climate Segment "," Doellingeria umbellata",2
"3489","c Climate Segment "," Doellingeria umbellata",4
"3490","d Climate Segment "," Doellingeria umbellata",0
"3491","e Climate Segment "," Doellingeria umbellata",4
"3492","f Climate Segment "," Doellingeria umbellata",0
"3505","a Climate Segment "," Drosera intermedia",5
"3506","b Climate Segment "," Drosera intermedia",0
"3507","c Climate Segment "," Drosera intermedia",0
"3508","d Climate Segment "," Drosera intermedia",0
"3509","e Climate Segment "," Drosera intermedia",0
"3510","f Climate Segment "," Drosera intermedia",0
"3511","a Climate Segment "," Drosera rotundifolia",6
"3512","b Climate Segment "," Drosera rotundifolia",3
"3513","c Climate Segment "," Drosera rotundifolia",0
"3514","d Climate Segment "," Drosera rotundifolia",0
"3515","e Climate Segment "," Drosera rotundifolia",0
"3516","f Climate Segment "," Drosera rotundifolia",0
"3517","a Climate Segment "," Drymocallis arguta",6
"3518","b Climate Segment "," Drymocallis arguta",0
"3519","c Climate Segment "," Drymocallis arguta",2
"3520","d Climate Segment "," Drymocallis arguta",0
"3521","e Climate Segment "," Drymocallis arguta",0
"3522","f Climate Segment "," Drymocallis arguta",0
"3523","a Climate Segment "," Dryopteris carthusiana",12
"3524","b Climate Segment "," Dryopteris carthusiana",9
"3525","c Climate Segment "," Dryopteris carthusiana",3
"3526","d Climate Segment "," Dryopteris carthusiana",1
"3527","e Climate Segment "," Dryopteris carthusiana",0
"3528","f Climate Segment "," Dryopteris carthusiana",0
"3535","a Climate Segment "," Dryopteris cristata",9
"3536","b Climate Segment "," Dryopteris cristata",4
"3537","c Climate Segment "," Dryopteris cristata",0
"3538","d Climate Segment "," Dryopteris cristata",0
"3539","e Climate Segment "," Dryopteris cristata",0
"3540","f Climate Segment "," Dryopteris cristata",0
"3559","a Climate Segment "," Dulichium arundinaceum",14
"3560","b Climate Segment "," Dulichium arundinaceum",4
"3561","c Climate Segment "," Dulichium arundinaceum",1
"3562","d Climate Segment "," Dulichium arundinaceum",3
"3563","e Climate Segment "," Dulichium arundinaceum",1
"3564","f Climate Segment "," Dulichium arundinaceum",0
"3595","a Climate Segment "," Echinochloa walteri",8
"3596","b Climate Segment "," Echinochloa walteri",1
"3597","c Climate Segment "," Echinochloa walteri",0
"3598","d Climate Segment "," Echinochloa walteri",0
"3599","e Climate Segment "," Echinochloa walteri",0
"3600","f Climate Segment "," Echinochloa walteri",1
"3601","a Climate Segment "," Echinocystis lobata",12
"3602","b Climate Segment "," Echinocystis lobata",9
"3603","c Climate Segment "," Echinocystis lobata",6
"3604","d Climate Segment "," Echinocystis lobata",3
"3605","e Climate Segment "," Echinocystis lobata",0
"3606","f Climate Segment "," Echinocystis lobata",0
"3607","a Climate Segment "," Echinodorus cordifolius",0
"3608","b Climate Segment "," Echinodorus cordifolius",0
"3609","c Climate Segment "," Echinodorus cordifolius",0
"3610","d Climate Segment "," Echinodorus cordifolius",0
"3611","e Climate Segment "," Echinodorus cordifolius",1
"3612","f Climate Segment "," Echinodorus cordifolius",2
"3619","a Climate Segment "," Eleocharis acicularis",10
"3620","b Climate Segment "," Eleocharis acicularis",2
"3621","c Climate Segment "," Eleocharis acicularis",0
"3622","d Climate Segment "," Eleocharis acicularis",1
"3623","e Climate Segment "," Eleocharis acicularis",0
"3624","f Climate Segment "," Eleocharis acicularis",1
"3649","a Climate Segment "," Eleocharis erythropoda",12
"3650","b Climate Segment "," Eleocharis erythropoda",9
"3651","c Climate Segment "," Eleocharis erythropoda",0
"3652","d Climate Segment "," Eleocharis erythropoda",0
"3653","e Climate Segment "," Eleocharis erythropoda",3
"3654","f Climate Segment "," Eleocharis erythropoda",0
"3655","a Climate Segment "," Eleocharis flavescens",8
"3656","b Climate Segment "," Eleocharis flavescens",2
"3657","c Climate Segment "," Eleocharis flavescens",0
"3658","d Climate Segment "," Eleocharis flavescens",0
"3659","e Climate Segment "," Eleocharis flavescens",0
"3660","f Climate Segment "," Eleocharis flavescens",0
"3727","a Climate Segment "," Eleocharis verrucosa",1
"3728","b Climate Segment "," Eleocharis verrucosa",0
"3729","c Climate Segment "," Eleocharis verrucosa",0
"3730","d Climate Segment "," Eleocharis verrucosa",3
"3731","e Climate Segment "," Eleocharis verrucosa",3
"3732","f Climate Segment "," Eleocharis verrucosa",5
"3739","a Climate Segment "," Elephantopus carolinianus",0
"3740","b Climate Segment "," Elephantopus carolinianus",0
"3741","c Climate Segment "," Elephantopus carolinianus",1
"3742","d Climate Segment "," Elephantopus carolinianus",4
"3743","e Climate Segment "," Elephantopus carolinianus",11
"3744","f Climate Segment "," Elephantopus carolinianus",7
"3757","a Climate Segment "," Elodea nuttallii",6
"3758","b Climate Segment "," Elodea nuttallii",2
"3759","c Climate Segment "," Elodea nuttallii",0
"3760","d Climate Segment "," Elodea nuttallii",0
"3761","e Climate Segment "," Elodea nuttallii",0
"3762","f Climate Segment "," Elodea nuttallii",0
"3763","a Climate Segment "," Elymus canadensis",12
"3764","b Climate Segment "," Elymus canadensis",10
"3765","c Climate Segment "," Elymus canadensis",4
"3766","d Climate Segment "," Elymus canadensis",2
"3767","e Climate Segment "," Elymus canadensis",0
"3768","f Climate Segment "," Elymus canadensis",1
"3793","a Climate Segment "," Elymus repens",11
"3794","b Climate Segment "," Elymus repens",6
"3795","c Climate Segment "," Elymus repens",3
"3796","d Climate Segment "," Elymus repens",0
"3797","e Climate Segment "," Elymus repens",2
"3798","f Climate Segment "," Elymus repens",0
"3805","a Climate Segment "," Elymus trachycaulus",7
"3806","b Climate Segment "," Elymus trachycaulus",2
"3807","c Climate Segment "," Elymus trachycaulus",0
"3808","d Climate Segment "," Elymus trachycaulus",0
"3809","e Climate Segment "," Elymus trachycaulus",0
"3810","f Climate Segment "," Elymus trachycaulus",0
"3859","a Climate Segment "," Epilobium leptophyllum",8
"3860","b Climate Segment "," Epilobium leptophyllum",6
"3861","c Climate Segment "," Epilobium leptophyllum",2
"3862","d Climate Segment "," Epilobium leptophyllum",0
"3863","e Climate Segment "," Epilobium leptophyllum",0
"3864","f Climate Segment "," Epilobium leptophyllum",0
"3877","a Climate Segment "," Equisetum fluviatile",9
"3878","b Climate Segment "," Equisetum fluviatile",4
"3879","c Climate Segment "," Equisetum fluviatile",0
"3880","d Climate Segment "," Equisetum fluviatile",0
"3881","e Climate Segment "," Equisetum fluviatile",0
"3882","f Climate Segment "," Equisetum fluviatile",0
"3901","a Climate Segment "," Eragrostis capillaris",0
"3902","b Climate Segment "," Eragrostis capillaris",0
"3903","c Climate Segment "," Eragrostis capillaris",0
"3904","d Climate Segment "," Eragrostis capillaris",1
"3905","e Climate Segment "," Eragrostis capillaris",3
"3906","f Climate Segment "," Eragrostis capillaris",3
"3991","a Climate Segment "," Eriophorum virginicum",9
"3992","b Climate Segment "," Eriophorum virginicum",3
"3993","c Climate Segment "," Eriophorum virginicum",1
"3994","d Climate Segment "," Eriophorum virginicum",0
"3995","e Climate Segment "," Eriophorum virginicum",0
"3996","f Climate Segment "," Eriophorum virginicum",0
"3997","a Climate Segment "," Eriophorum viridicarinatum",6
"3998","b Climate Segment "," Eriophorum viridicarinatum",0
"3999","c Climate Segment "," Eriophorum viridicarinatum",0
"4000","d Climate Segment "," Eriophorum viridicarinatum",0
"4001","e Climate Segment "," Eriophorum viridicarinatum",0
"4002","f Climate Segment "," Eriophorum viridicarinatum",0
"4003","a Climate Segment "," Eryngium yuccifolium",13
"4004","b Climate Segment "," Eryngium yuccifolium",2
"4005","c Climate Segment "," Eryngium yuccifolium",1
"4006","d Climate Segment "," Eryngium yuccifolium",2
"4007","e Climate Segment "," Eryngium yuccifolium",1
"4008","f Climate Segment "," Eryngium yuccifolium",1
"4027","a Climate Segment "," Euonymus americanus",0
"4028","b Climate Segment "," Euonymus americanus",0
"4029","c Climate Segment "," Euonymus americanus",0
"4030","d Climate Segment "," Euonymus americanus",0
"4031","e Climate Segment "," Euonymus americanus",6
"4032","f Climate Segment "," Euonymus americanus",2
"4057","a Climate Segment "," Eupatorium serotinum",11
"4058","b Climate Segment "," Eupatorium serotinum",0
"4059","c Climate Segment "," Eupatorium serotinum",3
"4060","d Climate Segment "," Eupatorium serotinum",7
"4061","e Climate Segment "," Eupatorium serotinum",14
"4062","f Climate Segment "," Eupatorium serotinum",6
"4063","a Climate Segment "," Eupatorium sessilifolium",2
"4064","b Climate Segment "," Eupatorium sessilifolium",1
"4065","c Climate Segment "," Eupatorium sessilifolium",0
"4066","d Climate Segment "," Eupatorium sessilifolium",3
"4067","e Climate Segment "," Eupatorium sessilifolium",5
"4068","f Climate Segment "," Eupatorium sessilifolium",4
"4099","a Climate Segment "," Euphorbia humistrata",0
"4100","b Climate Segment "," Euphorbia humistrata",0
"4101","c Climate Segment "," Euphorbia humistrata",1
"4102","d Climate Segment "," Euphorbia humistrata",4
"4103","e Climate Segment "," Euphorbia humistrata",7
"4104","f Climate Segment "," Euphorbia humistrata",6
"4147","a Climate Segment "," Eurybia macrophylla",9
"4148","b Climate Segment "," Eurybia macrophylla",3
"4149","c Climate Segment "," Eurybia macrophylla",0
"4150","d Climate Segment "," Eurybia macrophylla",1
"4151","e Climate Segment "," Eurybia macrophylla",2
"4152","f Climate Segment "," Eurybia macrophylla",0
"4165","a Climate Segment "," Euthamia gymnospermoides",7
"4166","b Climate Segment "," Euthamia gymnospermoides",2
"4167","c Climate Segment "," Euthamia gymnospermoides",0
"4168","d Climate Segment "," Euthamia gymnospermoides",0
"4169","e Climate Segment "," Euthamia gymnospermoides",0
"4170","f Climate Segment "," Euthamia gymnospermoides",1
"4171","a Climate Segment "," Eutrochium fistulosum",1
"4172","b Climate Segment "," Eutrochium fistulosum",0
"4173","c Climate Segment "," Eutrochium fistulosum",4
"4174","d Climate Segment "," Eutrochium fistulosum",5
"4175","e Climate Segment "," Eutrochium fistulosum",7
"4176","f Climate Segment "," Eutrochium fistulosum",1
"4177","a Climate Segment "," Eutrochium maculatum",13
"4178","b Climate Segment "," Eutrochium maculatum",9
"4179","c Climate Segment "," Eutrochium maculatum",5
"4180","d Climate Segment "," Eutrochium maculatum",0
"4181","e Climate Segment "," Eutrochium maculatum",1
"4182","f Climate Segment "," Eutrochium maculatum",0
"4243","a Climate Segment "," Fleischmannia incarnata",0
"4244","b Climate Segment "," Fleischmannia incarnata",0
"4245","c Climate Segment "," Fleischmannia incarnata",0
"4246","d Climate Segment "," Fleischmannia incarnata",0
"4247","e Climate Segment "," Fleischmannia incarnata",0
"4248","f Climate Segment "," Fleischmannia incarnata",2
"4249","a Climate Segment "," Floerkea proserpinacoides",7
"4250","b Climate Segment "," Floerkea proserpinacoides",9
"4251","c Climate Segment "," Floerkea proserpinacoides",9
"4252","d Climate Segment "," Floerkea proserpinacoides",1
"4253","e Climate Segment "," Floerkea proserpinacoides",0
"4254","f Climate Segment "," Floerkea proserpinacoides",0
"4255","a Climate Segment "," Forestiera acuminata",0
"4256","b Climate Segment "," Forestiera acuminata",0
"4257","c Climate Segment "," Forestiera acuminata",0
"4258","d Climate Segment "," Forestiera acuminata",0
"4259","e Climate Segment "," Forestiera acuminata",1
"4260","f Climate Segment "," Forestiera acuminata",5
"4279","a Climate Segment "," Frangula caroliniana",0
"4280","b Climate Segment "," Frangula caroliniana",0
"4281","c Climate Segment "," Frangula caroliniana",0
"4282","d Climate Segment "," Frangula caroliniana",0
"4283","e Climate Segment "," Frangula caroliniana",2
"4284","f Climate Segment "," Frangula caroliniana",2
"4297","a Climate Segment "," Fraxinus biltmoreana",0
"4298","b Climate Segment "," Fraxinus biltmoreana",1
"4299","c Climate Segment "," Fraxinus biltmoreana",4
"4300","d Climate Segment "," Fraxinus biltmoreana",5
"4301","e Climate Segment "," Fraxinus biltmoreana",9
"4302","f Climate Segment "," Fraxinus biltmoreana",4
"4345","a Climate Segment "," Galactia volubilis",0
"4346","b Climate Segment "," Galactia volubilis",0
"4347","c Climate Segment "," Galactia volubilis",0
"4348","d Climate Segment "," Galactia volubilis",1
"4349","e Climate Segment "," Galactia volubilis",1
